Hidden_Units,Learning_Rate,Accuracy_percent
50,0.001,99.1103202846975
50,0.01,98.8434163701068
50,0.1,98.7544483985765
100,0.001,98.932384341637
100,0.01,99.1103202846975
100,0.1,99.3772241992883
150,0.001,98.932384341637
150,0.01,98.576512455516
150,0.1,98.932384341637
200,0.001,99.644128113879
200,0.01,99.1992882562278
200,0.1,99.0213523131673
